New Epoch,LR,TrainLoss,ValLoss,GPUMem(MB)
1,0.0005,0.398715,0.365811,3246.22
New Epoch,LR,TrainLoss,ValLoss,GPUMem(MB)
1,0.0005,0.323918,0.412654,3283.66
2,0.0005,0.278977,0.373920,3283.66
3,0.0005,0.273762,0.362650,3283.66
4,0.0005,0.269685,0.419110,3283.66
5,0.0005,0.267716,0.410976,3283.66
6,0.0005,0.266211,0.411771,3283.66
7,0.0005,0.264998,0.394370,3283.66
8,0.0005,0.263571,0.376760,3283.66
9,0.0005,0.262992,0.415737,3283.66
10,0.0005,0.261976,0.419983,3283.66
11,0.0005,0.261816,0.435565,3283.66
12,0.0005,0.261176,0.409961,3283.66
13,0.0005,0.260732,0.381603,3283.66
New Epoch,LR,TrainLoss,ValLoss,GPUMem(MB)
